n,density,symmetric,norm,method,solver,est,ref,rel_err,sec,ok,error,finite_err,finite_sec,comparable
489,0.05,False,1,power,cg,,72158.3759695001,,1.3011602531187236,True,,False,True,False
489,0.05,False,1,power,gmres,7.505561216931798,72158.3759695001,0.9998959848927295,0.8022393137216568,True,,True,True,True
489,0.05,False,1,power,direct,330.2873471322273,72158.3759695001,0.995422744169411,1.6549767879769206,True,,True,True,True
489,0.05,False,1,oettli-prager,auto,23125.312965820707,72158.3759695001,0.6795200466319349,0.1789673250168562,True,,True,True,True
489,0.05,False,1,oettli-prager,lu,23125.312965820707,72158.3759695001,0.6795200466319349,0.16665297700092196,True,,True,True,True
489,0.05,False,1,oettli-prager,lsmr,664.2925936712213,72158.3759695001,0.9907939641830075,1.4540800107643008,True,,True,True,True
489,0.05,False,1,oettli-prager,cg,4.939421499964556e+17,72158.3759695001,6845250372668.627,0.7200754540972412,True,,True,True,True
489,0.05,False,1,oettli-prager,gmres,41.393563585569574,72158.3759695001,0.9994263512304785,0.6231352998875082,True,,True,True,True
489,0.05,False,1,oettli-prager,direct,23125.312965815836,72158.3759695001,0.6795200466320024,0.9014158211648464,True,,True,True,True
489,0.05,False,1,monte-carlo,auto,3792.775947187191,72158.3759695001,0.9474381747617168,10.173856833949685,True,,True,True,True
489,0.05,False,1,monte-carlo,lu,12455.936530990757,72158.3759695001,0.8273805866105464,10.185408230870962,True,,True,True,True
